0,1,2,3,4,label
9.788079,9.786986,5.7981324,3.2715404,11.044828,0
8.5962,6.2037573,7.541268,3.40061,11.646584,0
8.941421,5.8831954,7.981206,3.5611396,11.073158,0
9.308008,9.559373,8.342915,3.439551,11.326474,0
8.94549,6.7747436,7.835735,3.5497797,11.791572,0
9.78214,10.118268,5.033783,3.093128,10.817546,0
9.48311,9.257722,8.020444,3.214753,11.356204,0
9.620922,9.505457,6.708509,2.6353927,10.486388,0
10.067056,8.774452,6.2221437,2.6825113,12.467627,0
8.556948,10.56112,8.342115,1.9245718,12.3658085,0
9.865715,10.384249,5.608474,2.8823118,11.8526325,0
9.067249,6.388043,7.9256797,3.1639168,11.096565,0
10.101315,9.051306,7.193951,2.183024,11.270856,0
9.18883,9.390263,8.703738,2.43488,12.492263,0
10.339033,9.675747,5.7624288,3.8380127,10.580052,0
8.9891,8.75238,7.918058,2.8809812,12.136091,0
9.660439,10.938318,9.129436,2.8293183,11.52746,0
9.403421,7.6849904,7.3247085,1.8388408,11.042839,0
10.474681,9.561094,6.0672526,3.6476123,10.540383,0
8.406792,10.150043,8.25324,2.9758093,12.162608,0
9.733673,10.077558,5.4405174,3.3139396,10.694545,0
9.042812,9.048225,7.6791043,2.8570323,12.468021,0
9.739244,9.372869,8.933445,1.9757321,12.44715,0
10.111751,9.258335,7.933204,1.8794103,12.614543,0
9.475135,10.774411,6.097922,2.0189373,11.386192,0
8.947631,9.037784,7.2778206,3.0149047,12.474666,0
9.191396,10.552903,6.1359253,2.35246,11.241208,0
10.165962,9.302478,8.668713,1.9312227,12.25646,0
9.09363,8.294044,7.2761445,3.1371942,11.796112,0
8.909367,6.1132984,7.9195437,3.4399703,11.243315,0
9.664553,9.839702,5.7945194,2.1927817,11.2990675,0
10.384189,9.568076,6.1236815,3.6302662,10.498989,0
8.977006,6.2469964,8.01281,3.5281904,11.27618,0
9.688706,9.671511,6.508515,3.4924843,10.626984,0
10.520152,9.086554,9.398922,1.901514,11.13518,0
10.375848,9.894034,4.638305,2.925989,11.210444,0
9.621875,8.965393,7.066922,2.75665,10.345761,0
9.33935,9.273983,7.9830623,1.722117,9.66314,0
9.047576,6.5140986,7.936714,3.4134138,11.464086,0
9.353544,7.611289,7.363113,1.9075204,11.024009,0
9.298281,10.902659,6.164148,1.9108658,11.067113,0
10.051537,9.299932,9.158552,1.8727057,11.600685,0
9.4297085,9.773658,8.326717,2.0790503,10.984477,0
11.04894,8.930269,6.268921,2.773003,13.196656,0
9.766356,8.991065,6.7673116,3.0705993,13.2524395,0
9.071948,10.697963,8.627508,1.4565496,12.141703,0
9.112811,9.013723,7.616288,3.0122867,12.838325,0
