0,1,2,label
1.3950771,0.52747625,5.8972793,0
1.6913402,4.352353,8.860563,0
0.7718979,4.822918,8.5418415,0
0.95250547,1.0752578,8.770425,0
1.5914074,3.691838,8.982845,0
1.7174324,0.08888659,5.2497206,0
1.238927,1.2979367,8.334939,0
2.0774179,0.20259462,7.196162,0
3.118239,1.953741,7.015486,0
1.2098755,-0.80067104,9.770696,0
1.779466,0.09318752,5.842133,0
1.2789325,4.25928,8.270937,0
2.6584182,0.89840794,7.482095,0
2.4394622,0.951408,9.803334,0
0.8484395,1.1576395,5.506404,0
1.956508,1.5712913,9.033653,0
1.0093766,0.2682429,10.643916,0
2.1781368,2.9661303,7.403676,0
0.9693008,1.1527797,5.9545183,0
0.7659858,0.4366836,9.60207,0
1.1885996,0.23695958,5.6118116,0
2.1356726,1.8307227,9.096816,0
3.0397496,0.54020405,9.626598,0
3.4237769,0.87656385,8.605368,0
1.1198821,-0.94762737,6.525381,0
1.9865742,2.3894343,9.06484,0
0.9691587,-0.78775066,6.7554507,0
3.3170984,0.75263244,9.370572,0
1.6944796,2.3976402,8.377291,0
1.1233556,4.5214925,8.650377,0
2.374143,-0.11151495,6.312578,0
0.9459827,1.11739,6.0086203,0
0.9809678,4.5197225,8.632007,0
1.0964229,0.73273546,6.6882014,0
3.3946102,1.0736606,10.47457,0
2.2198958,0.40560445,4.9300394,0
1.5722452,0.80509996,7.35457,0
3.04386,-0.8671622,8.042378,0
1.3313167,4.077588,8.701008,0
2.1007936,3.0209086,7.5455356,0
1.0260136,-1.1998907,6.8372216,0
3.0548012,0.59941465,10.0648575,0
2.029133,-0.058746766,8.583501,0
4.2206187,2.0579267,6.948402,0
3.4433694,2.6321015,8.218428,0
1.8779197,-0.92638993,9.797471,0
2.3512683,2.1924453,9.264309,0
1.0069206,-1.3676599,9.137823,0
1.5893669,1.2659869,5.6027203,0
1.5720683,-0.6125074,9.66674,0
1.2958533,0.81042224,9.328226,0
2.9741166,1.9367747,8.350556,0
1.7947482,-0.06364096,6.789932,0
1.9651603,0.22583069,9.404544,0
3.7922804,1.5534374,6.9239144,0
1.0783305,-0.4104862,6.8536115,0
1.6453606,1.7121012,5.316808,0
0.73771966,1.0039062,8.267902,0
1.2154619,-0.93784136,5.7090783,0
1.6903318,-0.17248137,11.130793,0
3.6304288,2.076082,7.1206713,0
1.1492662,0.4060535,6.459269,0
1.2226635,0.86201066,5.6560855,0
2.292016,2.1006527,7.1979203,0
1.2810637,-0.97892326,9.667906,0
0.79808885,0.034368075,6.589784,0
2.6841147,1.2190307,4.509771,0
1.8330641,0.17776434,9.570757,0
2.6926734,-0.026961008,4.9113984,0
1.2518489,-1.3566977,9.1633,0
2.7896955,-1.0993974,7.007317,0
2.3019648,0.9067565,8.591535,0
2.618188,1.4052615,4.8276916,0
