0,1,2,3,label
1.7945359,-0.48778856,6.0020747,6.3962407,0
3.0136993,3.3572237,8.171716,5.9956675,0
2.1980348,3.8438258,8.457365,5.794907,0
1.7106048,0.09627872,8.717847,6.21727,0
2.954478,2.7847967,8.360242,5.79413,0
1.8667428,-0.8068358,5.3112364,6.6920614,0
1.9131279,0.3261377,8.400994,6.407954,0
1.3741952,0.11365226,6.995048,7.2780786,0
3.5076568,0.6370647,6.750115,6.7269387,0
2.7890642,-1.4521196,9.029812,7.2740817,0
2.808553,-1.0170693,6.058962,6.6163626,0
2.2399166,3.2685258,8.3777485,6.408202,0
2.1718407,0.6081685,7.533394,7.615697,0
3.1129339,-0.05514519,9.309481,6.932655,0
1.5085962,0.11376136,5.7118134,5.8455977,0
2.771897,0.380722,8.709812,6.390069,0
1.6468316,-0.8044218,10.074341,6.9174733,0
2.2360191,1.8536116,7.777533,7.800209,0
1.5530117,0.28435972,5.9701576,6.053348,0
2.501475,-1.0407919,8.97832,6.254806,0
1.6121233,-0.67736274,5.736312,6.4716964,0
3.0340807,0.10174404,8.401286,6.318811,0
3.3069353,0.23841682,9.4534235,7.661596,0
3.607505,0.22925787,8.2984295,7.7380047,0
2.2445982,-1.3986888,6.5915136,7.5233846,0
3.1585996,-0.03981939,8.061809,6.1135354,0
2.0647173,-1.3054279,6.7598968,7.1285777,0
3.1600544,0.52142596,9.139916,7.8209724,0
2.6171417,1.0543652,7.758846,6.154426,0
2.444185,3.5864296,8.395268,5.9445906,0
2.383668,-0.4800583,6.2362885,7.4534492,0
1.4682512,0.26279193,6.052055,6.1211042,0
2.3141665,3.4657032,8.471426,6.023042,0
1.4563718,-0.16205244,6.6446977,6.354243,0
2.0187037,0.9857231,9.891728,8.061327,0
2.3483934,-0.39939195,4.9119115,6.77316,0
1.2548307,0.5309463,7.1509333,6.9949775,0
0.57060707,0.3847989,8.212931,8.174924,0
2.6376228,3.15343,8.3644495,6.1837363,0
2.23603,1.8688071,7.772841,7.7336802,0
2.0116985,-1.5998753,6.774132,7.7300158,0
2.455081,0.45037335,9.589607,7.863563,0
1.7043313,-0.056439105,8.761152,7.635852,0
4.5209155,0.67841995,6.5132666,6.8885403,0
4.124241,0.13458095,7.505796,6.2038307,0
2.6909044,-1.2761804,9.334721,8.028705,0
3.4303036,0.10263089,8.3730345,6.138908,0
2.930315,-1.7254671,8.245716,7.5842576,0
2.1488478,0.120728746,5.5540166,6.2192545,0
2.3000684,-1.291186,9.185974,7.709817,0
2.0318065,-0.20675418,9.13234,6.3835673,0
3.656587,0.4942112,7.8984356,6.699118,0
1.9344586,-0.43153328,6.6893516,7.4889703,0
2.1833315,-0.07560022,9.239636,7.181769,0
